"Weekday" "Sunday"
134401 185915
109693 154413
111594 165607
371853 622065
183312 233767
301186 465807
179270 227806
148938 186747
450538 706153
207989 298383
226849 283339
150364 152788
680879 1002166
182176 306093
365288 485543
114442 148820
252564 368334
510133 785876
126642 196136
577826 785671
152885 244330
580106 720572
215452 325777
158651 190956
233634 357133
138620 192343
119646 183734
185570 285236
142025 164377
553018 747404
249891 370680
167851 229937
267273 377094
114593 155382
160391 220177
106941 144528
183343 283538
178360 201020
914584 1379258
213176 279731
157820 234971
315850 431181
244288 437578
380354 677929
172149 245972
167284 223151
253610 281766
1118565 1676885
408672 611027
201141 235277
207538 291720
192075 241810
302864 370911
257222 378587
376493 749793
432284 547860
242546 405692
334783 409554
167609 236096
163769 208769
188540 228663
183974 187817
173900 232688
289905 350078
190392 253058
134985 152444
222536 356403
328531 447128
512640 561118
271997 302713
105636 132103
382356 473715
285869 459220
334742 420022
120701 177033
128511 144707
224220 299590
139520 186219
139383 201130
182541 193352
732872 1029966
168147 208286
142873 168668
116398 140993
